#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-02-03 00:00:00+00:00 2017-02-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CMI,2017-02-03 05:35,M,M,M,310.00,7.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030535Z AUTO 31007KT 10SM CLR A3039 RMK MADISHF
CMI,2017-02-03 05:40,M,M,M,310.00,7.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030540Z AUTO 31007KT 10SM CLR A3039 RMK MADISHF
CMI,2017-02-03 05:45,M,M,M,310.00,7.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030545Z AUTO 31007KT 10SM CLR A3039 RMK MADISHF
CMI,2017-02-03 05:50,M,M,M,310.00,7.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030550Z AUTO 31007KT 10SM CLR A3039 RMK MADISHF
CMI,2017-02-03 05:53,19.90,8.10,59.60,310.00,8.00,0.00,30.39,1030.20,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030553Z AUTO 31008KT 10SM CLR M07/M13 A3039 RMK AO2 SLP302 T10671133 11039 21072 410111072 58005
CMI,2017-02-03 05:55,M,M,M,310.00,8.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030555Z AUTO 31008KT 10SM CLR A3039 RMK MADISHF
CMI,2017-02-03 06:00,M,M,M,310.00,8.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030600Z AUTO 31008KT 10SM CLR A3039 RMK MADISHF
CMI,2017-02-03 06:05,M,M,M,310.00,8.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030605Z AUTO 31008KT 10SM CLR A3039 RMK MADISHF
CMI,2017-02-03 06:10,M,M,M,310.00,7.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030610Z AUTO 31007KT 10SM CLR A3039 RMK MADISHF
CMI,2017-02-03 06:15,M,M,M,310.00,9.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030615Z AUTO 31009KT 10SM CLR A3039 RMK MADISHF
CMI,2017-02-03 06:20,M,M,M,310.00,9.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030620Z AUTO 31009KT 10SM CLR A3039 RMK MADISHF
CMI,2017-02-03 06:25,M,M,M,310.00,8.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030625Z AUTO 31008KT 10SM CLR A3039 RMK MADISHF
CMI,2017-02-03 06:30,M,M,M,310.00,10.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030630Z AUTO 31010KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 06:35,M,M,M,310.00,11.00,M,30.40,M,10.00,M,FEW,M,M,M,12000.00,M,M,M,M,KCMI 030635Z AUTO 31011KT 10SM FEW120 A3040 RMK MADISHF
CMI,2017-02-03 06:40,M,M,M,310.00,10.00,M,30.39,M,10.00,M,SCT,M,M,M,11000.00,M,M,M,M,KCMI 030640Z AUTO 31010KT 10SM SCT110 A3039 RMK MADISHF
CMI,2017-02-03 06:45,M,M,M,310.00,11.00,M,30.39,M,10.00,M,SCT,M,M,M,11000.00,M,M,M,M,KCMI 030645Z AUTO 31011KT 10SM SCT110 A3039 RMK MADISHF
CMI,2017-02-03 06:50,M,M,M,320.00,8.00,M,30.39,M,10.00,M,BKN,M,M,M,11000.00,M,M,M,M,KCMI 030650Z AUTO 32008KT 10SM BKN110 A3039 RMK MADISHF
CMI,2017-02-03 06:53,21.00,10.00,61.95,320.00,10.00,0.00,30.39,1030.20,10.00,M,BKN,M,M,M,11000.00,M,M,M,M,KCMI 030653Z AUTO 32010KT 10SM BKN110 M06/M12 A3039 RMK AO2 SLP302 T10611122
CMI,2017-02-03 06:55,M,M,M,310.00,11.00,M,30.39,M,10.00,M,BKN,M,M,M,11000.00,M,M,M,M,KCMI 030655Z AUTO 31011KT 10SM BKN110 A3039 RMK MADISHF
CMI,2017-02-03 07:00,M,M,M,320.00,12.00,M,30.39,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KCMI 030700Z AUTO 32012KT 10SM OVC110 A3039 RMK MADISHF
CMI,2017-02-03 07:05,M,M,M,310.00,13.00,M,30.39,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KCMI 030705Z AUTO 31013KT 10SM OVC110 A3039 RMK MADISHF
CMI,2017-02-03 07:10,M,M,M,310.00,12.00,M,30.39,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KCMI 030710Z AUTO 31012KT 10SM OVC110 A3039 RMK MADISHF
CMI,2017-02-03 07:15,M,M,M,320.00,14.00,M,30.40,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KCMI 030715Z AUTO 32014KT 10SM OVC110 A3040 RMK MADISHF
CMI,2017-02-03 07:20,M,M,M,320.00,13.00,M,30.40,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KCMI 030720Z AUTO 32013KT 10SM OVC110 A3040 RMK MADISHF
CMI,2017-02-03 07:25,M,M,M,320.00,12.00,M,30.40,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KCMI 030725Z AUTO 32012KT 10SM OVC110 A3040 RMK MADISHF
CMI,2017-02-03 07:30,M,M,M,320.00,11.00,M,30.39,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KCMI 030730Z AUTO 32011KT 10SM OVC110 A3039 RMK MADISHF
CMI,2017-02-03 07:35,M,M,M,320.00,13.00,M,30.40,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KCMI 030735Z AUTO 32013KT 10SM OVC110 A3040 RMK MADISHF
CMI,2017-02-03 07:40,M,M,M,320.00,13.00,M,30.40,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCMI 030740Z AUTO 32013KT 10SM OVC100 A3040 RMK MADISHF
CMI,2017-02-03 07:45,M,M,M,320.00,10.00,M,30.40,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCMI 030745Z AUTO 32010KT 10SM OVC100 A3040 RMK MADISHF
CMI,2017-02-03 07:50,M,M,M,320.00,13.00,M,30.40,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCMI 030750Z AUTO 32013KT 10SM OVC100 A3040 RMK MADISHF
CMI,2017-02-03 07:53,21.00,9.00,59.23,320.00,11.00,0.00,30.40,1030.50,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCMI 030753Z AUTO 32011KT 10SM OVC100 M06/M13 A3040 RMK AO2 SLP305 T10611128
CMI,2017-02-03 07:55,M,M,M,320.00,12.00,M,30.40,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCMI 030755Z AUTO 32012KT 10SM OVC100 A3040 RMK MADISHF
CMI,2017-02-03 08:00,M,M,M,330.00,13.00,M,30.40,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCMI 030800Z AUTO 33013KT 10SM OVC100 A3040 RMK MADISHF
CMI,2017-02-03 08:05,M,M,M,330.00,12.00,M,30.40,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCMI 030805Z AUTO 33012KT 10SM OVC100 A3040 RMK MADISHF
CMI,2017-02-03 08:10,M,M,M,330.00,13.00,M,30.40,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCMI 030810Z AUTO 33013KT 10SM OVC100 A3040 RMK MADISHF
CMI,2017-02-03 08:15,M,M,M,330.00,11.00,M,30.40,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCMI 030815Z AUTO 33011KT 10SM OVC100 A3040 RMK MADISHF
CMI,2017-02-03 08:20,M,M,M,330.00,12.00,M,30.40,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCMI 030820Z AUTO 33012KT 10SM OVC100 A3040 RMK MADISHF
CMI,2017-02-03 08:25,M,M,M,340.00,12.00,M,30.40,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCMI 030825Z AUTO 34012KT 10SM OVC100 A3040 RMK MADISHF
CMI,2017-02-03 08:30,M,M,M,330.00,12.00,M,30.40,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCMI 030830Z AUTO 33012KT 10SM OVC100 A3040 RMK MADISHF
CMI,2017-02-03 08:35,M,M,M,330.00,11.00,M,30.40,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KCMI 030835Z AUTO 33011KT 10SM OVC110 A3040 RMK MADISHF
CMI,2017-02-03 08:40,M,M,M,320.00,12.00,M,30.40,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KCMI 030840Z AUTO 32012KT 10SM OVC110 A3040 RMK MADISHF
CMI,2017-02-03 08:45,M,M,M,320.00,13.00,M,30.40,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KCMI 030845Z AUTO 32013KT 10SM OVC110 A3040 RMK MADISHF
CMI,2017-02-03 08:50,M,M,M,320.00,12.00,M,30.40,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KCMI 030850Z AUTO 32012KT 10SM OVC110 A3040 RMK MADISHF
CMI,2017-02-03 08:53,19.90,9.00,62.07,330.00,13.00,0.00,30.40,1030.50,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KCMI 030853Z AUTO 33013KT 10SM OVC110 M07/M13 A3040 RMK AO2 SLP305 T10671128 50002
CMI,2017-02-03 08:55,M,M,M,330.00,12.00,M,30.40,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KCMI 030855Z AUTO 33012KT 10SM OVC110 A3040 RMK MADISHF
CMI,2017-02-03 09:00,M,M,M,330.00,12.00,M,30.40,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KCMI 030900Z AUTO 33012KT 10SM OVC110 A3040 RMK MADISHF
CMI,2017-02-03 09:05,M,M,M,330.00,12.00,M,30.41,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCMI 030905Z AUTO 33012KT 10SM OVC100 A3041 RMK MADISHF
CMI,2017-02-03 09:10,M,M,M,320.00,13.00,M,30.41,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCMI 030910Z AUTO 32013KT 10SM OVC100 A3041 RMK MADISHF
CMI,2017-02-03 09:15,M,M,M,330.00,11.00,M,30.41,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCMI 030915Z AUTO 33011KT 10SM OVC100 A3041 RMK MADISHF
CMI,2017-02-03 09:20,M,M,M,320.00,11.00,M,30.41,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCMI 030920Z AUTO 32011KT 10SM OVC100 A3041 RMK MADISHF
CMI,2017-02-03 09:25,M,M,M,330.00,13.00,M,30.41,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCMI 030925Z AUTO 33013KT 10SM OVC100 A3041 RMK MADISHF
CMI,2017-02-03 09:30,M,M,M,330.00,11.00,M,30.42,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCMI 030930Z AUTO 33011KT 10SM OVC100 A3042 RMK MADISHF
CMI,2017-02-03 09:35,M,M,M,320.00,12.00,M,30.42,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCMI 030935Z AUTO 32012KT 10SM OVC100 A3042 RMK MADISHF
CMI,2017-02-03 09:40,M,M,M,330.00,13.00,M,30.42,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCMI 030940Z AUTO 33013KT 10SM OVC100 A3042 RMK MADISHF
CMI,2017-02-03 09:45,M,M,M,320.00,10.00,M,30.42,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KCMI 030945Z AUTO 32010KT 10SM OVC110 A3042 RMK MADISHF
CMI,2017-02-03 09:50,M,M,M,310.00,12.00,M,30.42,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCMI 030950Z AUTO 31012KT 10SM OVC100 A3042 RMK MADISHF
CMI,2017-02-03 09:53,19.90,8.10,59.60,320.00,11.00,0.00,30.42,1031.10,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCMI 030953Z AUTO 32011KT 10SM OVC100 M07/M13 A3042 RMK AO2 SLP311 T10671133
